Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff
20;sameT;4.449;NA;1;NA;引人入盛;yin3 ren2 ru4 sheng4;NA;NA;lure person enter prosperous;盛;11;2
20;noP;4.449;NA;1;NA;引人入梨;yin3 ren2 ru4 li2;NA;NA;lure person enter pear;梨;11;2
21;corr;4.707;3.908;1;0.778;得心应手;de2 xin1 ying4 shou3;dé xīn yìng shǒu;Do something with skills;obtain heart adapt hand;手;4;NA
21;diffT;4.707;NA;1;NA;得心应收;de2 xin1 ying4 shou1;NA;NA;obtain heart adapt receive;收;6;2
21;sameT;4.707;NA;1;NA;得心应守;de2 xin1 ying4 shou3;NA;NA;obtain heart adapt guard;守;6;2
21;noP;4.707;NA;1;NA;得心应爷;de2 xin1 ying4 ye2;NA;NA;obtain heart adapt grandpa;爷;6;2
22;corr;4.632;4.294;1;0.704;心平气和;xin1 ping2 qi4 he2;xīn píng qì hé;Peaceful attitude;heart quiet breath peaceful;和;8;NA
22;diffT;4.632;NA;1;NA;心平气诃;xin1 ping2 qi4 he1;NA;NA;heart quiet breath scold;诃;8;0
22;sameT;4.632;NA;1;NA;心平气河;xin1 ping2 qi4 he2;NA;NA;heart quiet breath river;河;8;0
22;noP;4.632;NA;1;NA;心平气帜;xin1 ping2 qi4 zhi4;NA;NA;heart quiet breath flag;帜;8;0
23;corr;4.615;4.085;1;0.963;心旷神怡;xin1 kuang4 shen2 yi2;xīn kuàng shén yí;Full of joy;heart free spirit harmonious;怡;8;NA
23;diffT;4.615;NA;1;NA;心旷神异;xin1 kuang4 shen2 yi4;NA;NA;heart free spirit different;异;6;-2
23;sameT;4.615;NA;1;NA;心旷神夷;xin1 kuang4 shen2 yi2;NA;NA;heart free spirit barbarians;夷;6;-2
23;noP;4.615;NA;1;NA;心旷神吓;xin1 kuang4 shen2 he4;NA;NA;heart free spirit scare;吓;6;-2
24;corr;4.828;4.492;1;0.519;心满意足;xin1 man3 yi4 zu2;xīn mǎn yì zú;Happy in the heart;heart full desire enough;足;7;NA
24;diffT;4.828;NA;1;NA;心满意诅;xin1 man3 yi4 zu3;NA;NA;heart full desire curse;诅;7;0
24;sameT;4.828;NA;1;NA;心满意卒;xin1 man3 yi4 zu2;NA;NA;heart full desire soldier;卒;8;1
24;noP;4.828;NA;1;NA;心满意卣;xin1 man3 yi4 you3;NA;NA;heart full desire wine container;卣;7;0
25;corr;4.753;4.671;1;0.63;心甘情愿;xin1 gan1 qing2 yuan4;xīn gān qíng yuàn;Do something with passion;heart sweet emotion will;愿;14;NA
25;diffT;4.753;NA;1;NA;心甘情缘;xin1 gan1 qing2 yuan2;NA;NA;heart sweet emotion fate;缘;12;-2
25;sameT;4.753;NA;1;NA;心甘情媛;xin1 gan1 qing2 yuan4;NA;NA;heart sweet emotion beautiful_woman;媛;12;-2
25;noP;4.753;NA;1;NA;心甘情联;xin1 gan1 qing2 lian2;NA;NA;heart sweet emotion ally;联;12;-2
26;corr;4.813;4.6;1;0.889;志同道合;zhi4 tong2 dao4 he2;zhì tóng dào hé;To have the same principles;will same road align;合;6;NA
26;diffT;4.813;NA;1;NA;志同道吓;zhi4 tong2 dao4 he4;NA;NA;will same road scare;吓;6;0
26;sameT;4.813;NA;1;NA;志同道何;zhi4 tong2 dao4 he2;NA;NA;will same road carry;何;7;1
26;noP;4.813;NA;1;NA;志同道亦;zhi4 tong2 dao4 yi4;NA;NA;will same road also;亦;6;0
27;corr;4.679;3.847;1;0.741;情有独钟;qing2 you3 du2 zhong1;qíng yǒu dú zhōng;Attraction;love have only concentrate;钟;9;NA
27;diffT;4.679;NA;1;NA;情有独重;qing2 you3 du2 zhong4;NA;NA;love have only heavy;重;9;0
27;sameT;4.679;NA;1;NA;情有独衷;qing2 you3 du2 zhong1;NA;NA;love have only innerfeelings;衷;10;1
27;noP;4.679;NA;1;NA;情有独珏;qing2 you3 du2 jue2;NA;NA;love have only jade;珏;9;0
28;corr;4.660;4.268;1;0.815;惊天动地;jing1 tian1 dong4 di4;jīng tiān dòng dì;Huge impact;shock sky move ground;地;6;NA
28;diffT;4.660;NA;1;NA;惊天动邸;jing1 tian1 dong4 di3;NA;NA;shock sky move residence;邸;7;1
28;sameT;4.660;NA;1;NA;惊天动弟;jing1 tian1 dong4 di4;NA;NA;shock sky move littlebrother;弟;7;1
28;noP;4.660;NA;1;NA;惊天动违;jing1 tian1 dong4 wei2;NA;NA;shock sky move disobey;违;7;1
29;corr;4.731;3.915;1;0.815;我行我素;wo3 xing2 wo3 su4;wǒ xíng wǒ sù;Not care about people's opinions;me walk me essence;素;10;NA
29;diffT;4.731;NA;1;NA;我行我俗;wo3 xing2 wo3 su2;NA;NA;me walk me popular;俗;9;-1
29;sameT;4.731;NA;1;NA;我行我速;wo3 xing2 wo3 su4;NA;NA;me walk me fast;速;10;0
29;noP;4.731;NA;1;NA;我行我姚;wo3 xing2 wo3 yao2;NA;NA;me walk me handsome;姚;9;-1
30;corr;4.443;2.805;1;0.852;扑朔迷离;pu1 shuo4 mi2 li2;pū shuò mí lí;not able to tell with certainty;jump male uncertain distinguish;离;10;NA
30;diffT;4.443;NA;1;NA;扑朔迷莉;pu1 shuo4 mi2 li4;NA;NA;jump male uncertain jasmine;莉;10;0
30;sameT;4.443;NA;1;NA;扑朔迷梨;pu1 shuo4 mi2 li2;NA;NA;jump male uncertain pear;梨;11;1
30;noP;4.443;NA;1;NA;扑朔迷素;pu1 shuo4 mi2 su4;NA;NA;jump male uncertain essence;素;10;0
31;corr;4.759;4.05;0.909;0.667;日新月异;ri4 xin1 yue4 yi4;rì xīn yuè yì;change day after day;sun new moon different;异;6;NA
