Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff;Frequency;Frequency_Percentage;Sem_Distance;Levenshtein_Distance;Relative_Frequency
19;diffT;4.742;NA;1;NA;弄虚作颊;nong4 xu1 zuo4 jia2;NA;NA;do fake create cheeks;颊;12;1;3025;0.001563%;0.904396593570709;0.857142857142857;0.000015632750324
19;sameT;4.742;NA;1;NA;弄虚作胛;nong4 xu1 zuo4 jia3;NA;NA;do fake create shoulder_blade;胛;9;-2;247;0.000128%;0.827888399362564;0.75;0.000001276459283
19;noP;4.742;NA;1;NA;弄虚作缘;nong4 xu1 zuo4 yuan2;NA;NA;do fake create fate;缘;12;1;19330;0.009989%;0.734669387340546;0.8;0.00009989456653
20;corr;4.449;3.559;1;0.889;引人入胜;yin3 ren2 ru4 sheng4;yǐn rén rù shèng;Mesmerize people with beauty;lure person enter splendor;胜;9;NA;49565;0.025614%;NA;0;0.000256144551996
20;diffT;4.449;NA;1;NA;引人入绳;yin3 ren2 ru4 sheng2;NA;NA;lure person enter rope/string;绳;11;2;7256;0.003750%;0.817426785826683;0.8;0.000037497929371
20;sameT;4.449;NA;1;NA;引人入盛;yin3 ren2 ru4 sheng4;NA;NA;lure person enter prosperous;盛;11;2;24387;0.012603%;0.673486858606339;1;0.00012602839079
20;noP;4.449;NA;1;NA;引人入梨;yin3 ren2 ru4 li2;NA;NA;lure person enter pear;梨;11;2;1884;0.000974%;0.763097256422043;0.8;0.000009736231937
21;corr;4.707;3.908;1;0.778;得心应手;de2 xin1 ying4 shou3;dé xīn yìng shǒu;Do something with skills;obtain heart adapt hand;手;4;NA;280442;0.144928%;NA;0;0.001449282567352
21;diffT;4.707;NA;1;NA;得心应收;de2 xin1 ying4 shou1;NA;NA;obtain heart adapt receive;收;6;2;120897;0.062478%;0.528025150299072;1;0.000624777724254
21;sameT;4.707;NA;1;NA;得心应守;de2 xin1 ying4 shou3;NA;NA;obtain heart adapt guard;守;6;2;44264;0.022875%;0.62212410569191;1;0.000228749772007
21;noP;4.707;NA;1;NA;得心应爷;de2 xin1 ying4 ye2;NA;NA;obtain heart adapt grandpa;爷;6;2;30930;0.015984%;0.673279941082001;1;0.000159841642151
22;corr;4.632;4.294;1;0.704;心平气和;xin1 ping2 qi4 he2;xīn píng qì hé;Peaceful attitude;heart quiet breath peaceful;和;8;NA;1010465;0.522193%;NA;0;0.005221932910974
22;diffT;4.632;NA;1;NA;心平气诃;xin1 ping2 qi4 he1;NA;NA;heart quiet breath scold;诃;8;0;814;0.000421%;0.846438184380531;0.5;0.000004206630996
22;sameT;4.632;NA;1;NA;心平气河;xin1 ping2 qi4 he2;NA;NA;heart quiet breath river;河;8;0;69687;0.036013%;0.685842543840408;0.5;0.000360132056793
22;noP;4.632;NA;1;NA;心平气帜;xin1 ping2 qi4 zhi4;NA;NA;heart quiet breath flag;帜;8;0;2452;0.001267%;0.843260437250137;0.4;0.000012671571502
23;corr;4.615;4.085;1;0.963;心旷神怡;xin1 kuang4 shen2 yi2;xīn kuàng shén yí;Full of joy;heart free spirit harmonious;怡;8;NA;3649;0.001886%;NA;0;0.000018857489564
23;diffT;4.615;NA;1;NA;心旷神异;xin1 kuang4 shen2 yi4;NA;NA;heart free spirit different;异;6;-2;52735;0.027253%;0.621519446372986;0.8;0.000272526640765
23;sameT;4.615;NA;1;NA;心旷神夷;xin1 kuang4 shen2 yi2;NA;NA;heart free spirit barbarians;夷;6;-2;4638;0.002397%;0.626404762268066;1;0.000023968494546
23;noP;4.615;NA;1;NA;心旷神吓;xin1 kuang4 shen2 he4;NA;NA;heart free spirit scare;吓;6;-2;14620;0.007555%;0.709402143955231;0.6;0.000075553986688
24;corr;4.828;4.492;1;0.519;心满意足;xin1 man3 yi4 zu2;xīn mǎn yì zú;Happy in the heart;heart full desire enough;足;7;NA;77385;0.039991%;NA;0;0.000399914176459
24;diffT;4.828;NA;1;NA;心满意诅;xin1 man3 yi4 zu3;NA;NA;heart full desire curse;诅;7;0;1535;0.000793%;0.737674802541733;1;0.000007932651817
24;sameT;4.828;NA;1;NA;心满意卒;xin1 man3 yi4 zu2;NA;NA;heart full desire soldier;卒;8;1;3306;0.001708%;0.634344041347504;0.833333333333333;0.000017084916552
24;noP;4.828;NA;1;NA;心满意卣;xin1 man3 yi4 you3;NA;NA;heart full desire wine container;卣;7;0;118;0.000061%;0.733409702777863;0.75;0.000000609806459
25;corr;4.753;4.671;1;0.63;心甘情愿;xin1 gan1 qing2 yuan4;xīn gān qíng yuàn;Do something with passion;heart sweet emotion will;愿;14;NA;67915;0.035097%;NA;0;0.000350974624207
25;diffT;4.753;NA;1;NA;心甘情缘;xin1 gan1 qing2 yuan2;NA;NA;heart sweet emotion fate;缘;12;-2;19330;0.009989%;0.530716270208359;1;0.00009989456653
25;sameT;4.753;NA;1;NA;心甘情媛;xin1 gan1 qing2 yuan4;NA;NA;heart sweet emotion beautiful_woman;媛;12;-2;535;0.000276%;0.71532329916954;0.866666666666667;0.00000276480047
