"Item","Condition","Familiarity","Compositionality","Predictability","Register","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff","Frequency","Frequency_Percentage","Sem_Distance","Levenshtein_Distance","logFrequency","Group","List","correct_response"
27,"sameT",4.679,NA,1,NA,"情有独衷","qing2 you3 du2 zhong1",NA,NA,"love have only innerfeelings","衷",10,1,5781,"0.002988%",0.577591061592102,0.538461538461538,8.66233195708248,"G2","L2","false"
28,"corr",4.66,4.268,1,0.815,"惊天动地","jing1 tian1 dong4 di4","jīng tiān dòng dì","Huge impact","shock sky move ground","地",6,NA,969349,"0.500945%",NA,0,13.7843799911477,"G2","L3","true"
28,"diffT",4.66,NA,1,NA,"惊天动邸","jing1 tian1 dong4 di3",NA,NA,"shock sky move residence","邸",7,1,1521,"0.000786%",0.837331354618073,0.6,7.32712329225929,"G2","L1","false"
28,"sameT",4.66,NA,1,NA,"惊天动弟","jing1 tian1 dong4 di4",NA,NA,"shock sky move littlebrother","弟",7,1,42706,"0.022070%",0.723620921373367,0.833333333333333,10.6620947045679,"G2","L2","false"
29,"corr",4.731,3.915,1,0.815,"我行我素","wo3 xing2 wo3 su4","wǒ xíng wǒ sù","Not care about people's opinions","me walk me essence","素",10,NA,59100,"0.030542%",NA,0,10.9869862033942,"G1","L1","true"
29,"diffT",4.731,NA,1,NA,"我行我俗","wo3 xing2 wo3 su2",NA,NA,"me walk me popular","俗",9,-1,17463,"0.009025%",0.613324731588364,0.8,9.76783963593985,"G1","L2","false"
29,"sameT",4.731,NA,1,NA,"我行我速","wo3 xing2 wo3 su4",NA,NA,"me walk me fast","速",10,0,65094,"0.033640%",0.596226394176483,1,11.0835876580505,"G1","L3","false"
3,"corr",4.574,4.373,1,0.704,"全心全意","quan2 xin1 quan2 yi4","quán xīn quán yì","With great purpose","all heart all mind","意",13,NA,360232,"0.186163%",NA,0,12.7945035473116,"G2","L3","true"
3,"diffT",4.574,NA,1,NA,"全心全疑","quan2 xin1 quan2 yi2",NA,NA,"all heart all doubt","疑",14,1,53982,"0.027897%",0.3851398229599,0.7,10.8964059366452,"G2","L1","false"
3,"sameT",4.574,NA,1,NA,"全心全裔","quan2 xin1 quan2 yi4",NA,NA,"all heart all posterity/descendants","裔",13,0,2350,"0.001214%",0.636198043823242,0.555555555555556,7.7621706071382,"G2","L2","false"
30,"corr",4.443,2.805,1,0.852,"扑朔迷离","pu1 shuo4 mi2 li2","pū shuò mí lí","not able to tell with certainty","jump male uncertain distinguish","离",10,NA,100744,"0.052063%",NA,0,11.5203379246857,"G1","L1","true"
30,"diffT",4.443,NA,1,NA,"扑朔迷莉","pu1 shuo4 mi2 li4",NA,NA,"jump male uncertain jasmine","莉",10,0,8289,"0.004284%",0.755879044532776,0.777777777777778,9.02268461359153,"G1","L2","false"
30,"sameT",4.443,NA,1,NA,"扑朔迷梨","pu1 shuo4 mi2 li2",NA,NA,"jump male uncertain pear","梨",11,1,1884,"0.000974%",0.771393015980721,0.777777777777778,7.54115245513631,"G1","L3","false"
31,"corr",4.759,4.05,0.909,0.667,"日新月异","ri4 xin1 yue4 yi4","rì xīn yuè yì","change day after day","sun new moon different","异",6,NA,52735,"0.027253%",NA,0,10.8730346507107,"G2","L3","true"
31,"diffT",4.759,NA,0.909,NA,"日新月仪","ri4 xin1 yue4 yi2",NA,NA,"sun new moon ceremony","仪",5,-1,19064,"0.009852%",0.605431348085403,0.833333333333333,9.85555701877858,"G2","L1","false"
31,"sameT",4.759,NA,0.909,NA,"日新月亦","ri4 xin1 yue4 yi4",NA,NA,"sun new moon also","亦",6,0,37960,"0.019617%",0.503051906824112,0.6,10.5442882527239,"G2","L2","false"
32,"corr",4.543,3.235,0.538,0.889,"有的放矢","you3 de5 fang4 shi3","yǒu de fàng shǐ","to have a precise goal","have target throw arrow","矢",5,NA,2466,"0.001274%",NA,0,7.81035268372429,"G3","L2","true"
32,"diffT",4.543,NA,0.538,NA,"有的放石","you3 de5 fang4 shi2",NA,NA,"have target throw rock","石",5,0,102149,"0.052789%",0.547932922840118,0.6,11.5341878106726,"G3","L3","false"
32,"sameT",4.543,NA,0.538,NA,"有的放史","you3 de5 fang4 shi3",NA,NA,"have target throw history","史",5,0,90469,"0.046753%",0.736730813980103,1,11.4127625295708,"G3","L1","false"
33,"corr",4.256,3.898,0.75,0.963,"标本兼治","biao1 ben3 jian1 zhi4","biāo běn jiān zhì","deal with multiple problems","surface root together treat","治",8,NA,156904,"0.081086%",NA,0,11.9633894323413,"G2","L3","true"
33,"diffT",4.256,NA,0.75,NA,"标本兼直","biao1 ben3 jian1 zhi2",NA,NA,"surface root together straighten","直",8,0,169439,"0.087564%",0.639271020889282,0.75,12.0402482590237,"G2","L1","false"
33,"sameT",4.256,NA,0.75,NA,"标本兼质","biao1 ben3 jian1 zhi4",NA,NA,"surface root together question","质",8,0,104560,"0.054035%",0.636192739009857,0.8,11.5575163482981,"G2","L2","false"
34,"corr",4.719,4.474,0.867,0.889,"根深蒂固","gen1 shen1 di4 gu4","gēn shēn dì gù","deeply rooted thing","root deep sprout strong","固",8,NA,37582,"0.019422%",NA,0,10.5342804913491,"G1","L1","true"
34,"diffT",4.719,NA,0.867,NA,"根深蒂沽","gen1 shen1 di4 gu1",NA,NA,"root deep sprout buy","沽",8,0,1043,"0.000539%",0.640496015548706,0.4,6.94985645500077,"G1","L2","false"
34,"sameT",4.719,NA,0.867,NA,"根深蒂故","gen1 shen1 di4 gu4",NA,NA,"root deep sprout old","故",9,1,70067,"0.036210%",0.435827255249023,0.4,11.1572072061195,"G1","L3","false"
35,"corr",4.93,4.439,1,0.704,"欢天喜地","huan1 tian1 xi3 di4","huān tiān xǐ dì","extremely happy","happy sky joyful earth","地",6,NA,969349,"0.500945%",NA,0,13.7843799911477,"G1","L1","true"
35,"diffT",4.93,NA,1,NA,"欢天喜籴","huan1 tian1 xi3 di3",NA,NA,"happy sky joyful buy grain","籴",8,2,106,"0.000055%",0.783965408802032,0.75,4.66343909411207,"G1","L2","false"
35,"sameT",4.93,NA,1,NA,"欢天喜弟","huan1 tian1 xi3 di4",NA,NA,"happy sky joyful brother","弟",9,3,42706,"0.022070%",0.723620921373367,0.833333333333333,10.6620947045679,"G1","L3","false"
36,"corr",4.63,4.686,0.769,0.519,"求真务实","qiu2 zhen1 wu4 shi2","qiú zhēn wù shí","do things seriously","search truth concentrate truth","实",8,NA,368494,"0.190432%",NA,0,12.8171797082537,"G3","L2","true"
36,"diffT",4.63,NA,0.769,NA,"求真务式","qiu2 zhen1 wu4 shi4",NA,NA,"search truth concentrate type","式",6,-2,142292,"0.073534%",0.616571426391602,1,11.8656365632425,"G3","L3","false"
36,"sameT",4.63,NA,0.769,NA,"求真务时","qiu2 zhen1 wu4 shi2",NA,NA,"search truth concentrate hour","时",7,-1,833532,"0.430757%",0.625908344984055,1,13.6334273727576,"G3","L1","false"
37,"corr",4.663,3.686,1,0.741,"游刃有余","you2 ren4 you3 yu2","yóu rèn yǒu yú","sort it out with skills","move blade have extra","余",7,NA,50601,"0.026150%",NA,0,10.8317266179261,"G3","L2","true"
37,"diffT",4.663,NA,1,NA,"游刃有雨","you2 ren4 you3 yu4",NA,NA,"move blade have rain","雨",8,1,35370,"0.018279%",0.633708387613297,0.6,10.4736192821995,"G3","L3","false"
37,"sameT",4.663,NA,1,NA,"游刃有鱼","you2 ren4 you3 yu2",NA,NA,"move blade have fish","鱼",8,1,40452,"0.020905%",0.676875382661819,0.777777777777778,10.6078713650221,"G3","L1","false"
38,"corr",4.652,4.294,0.769,0.852,"独树一帜","du2 shu4 yi1 zhi4","dú shù yī zhì","stand out","only stand one flag","帜",8,NA,2452,"0.001267%",NA,0,7.8046592970561,"G1","L1","true"
